FNFAET12NJR,0,"`""Participated in formal or non-formal AET for non JR reasons""', modify"
FNFAET12NJR,1,"`""Did not participate in formal or non-formal AET for JR reasons""', modify"
FNFAET12JR,0,"`""Participated in formal or non-formal AET for JR reasons""', modify"
FNFAET12JR,1,"`""Did not participate in FE or NFE for JR reasons""', modify"
FNFE12JR,0,"`""Participated in FE or NFE for JR reasons""', modify"
FNFE12JR,1,"`""Did not participate in NFE for NJR reasons""', modify"
NFE12NJR,0,"`""Participated in NFE for NJR reasons""', modify"
NFE12NJR,1,"`""Did not participate in NFE for JR reasons""', modify"
NFE12JR,0,"`""Participated in NFE for JR reasons""', modify"
NFE12JR,1,"`""JK1 - Jackknife 1""', modify"
VEMETHODN,1,"`""JK2 - Jackknife 2""', modify"
VEMETHODN,2,"`""BRR - Balanced Repeated Replication""', modify"
VEMETHODN,3,"`""FAY - Balanced Repeated Replication w Fay's adjustment""', modify"
VEMETHODN,4,"`""Has PV""', modify"
PSLSTATUS,1,"`""Literacy Related Non-Response""', modify"
PSLSTATUS,2,"`""CBA Non-Response""', modify"
PSLSTATUS,3,"`""Has PV""', modify"
NUMSTATUS,1,"`""Literacy Related Non-Response""', modify"
NUMSTATUS,2,"`""Has PV""', modify"
LITSTATUS,1,"`""Literacy Related Non-Response""', modify"
LITSTATUS,2,"`""All zero response""', modify"
WRITWORK_WLE_CA,0,"`""Lowest to 20%""', modify"
WRITWORK_WLE_CA,1,"`""More than 0.2 to 40%""', modify"
WRITWORK_WLE_CA,2,"`""More than 0.4 to 60%""', modify"
WRITWORK_WLE_CA,3,"`""More than 0.6 to 80%""', modify"
WRITWORK_WLE_CA,4,"`""More than 80%""', modify"
WRITWORK_WLE_CA,5,"`""All zero response""', modify"
WRITHOME_WLE_CA,0,"`""Lowest to 20%""', modify"
WRITHOME_WLE_CA,1,"`""More than 0.2 to 40%""', modify"
WRITHOME_WLE_CA,2,"`""More than 0.4 to 60%""', modify"
WRITHOME_WLE_CA,3,"`""More than 0.6 to 80%""', modify"
WRITHOME_WLE_CA,4,"`""More than 80%""', modify"
WRITHOME_WLE_CA,5,"`""All zero response""', modify"
TASKDISC_WLE_CA,0,"`""Lowest to 20%""', modify"
TASKDISC_WLE_CA,1,"`""More than 0.2 to 40%""', modify"
TASKDISC_WLE_CA,2,"`""More than 0.4 to 60%""', modify"
TASKDISC_WLE_CA,3,"`""More than 0.6 to 80%""', modify"
TASKDISC_WLE_CA,4,"`""More than 80%""', modify"
TASKDISC_WLE_CA,5,"`""All zero response""', modify"
READWORK_WLE_CA,0,"`""Lowest to 20%""', modify"
READWORK_WLE_CA,1,"`""More than 0.2 to 40%""', modify"
READWORK_WLE_CA,2,"`""More than 0.4 to 60%""', modify"
READWORK_WLE_CA,3,"`""More than 0.6 to 80%""', modify"
READWORK_WLE_CA,4,"`""More than 80%""', modify"
READWORK_WLE_CA,5,"`""All zero response""', modify"
READHOME_WLE_CA,0,"`""Lowest to 20%""', modify"
READHOME_WLE_CA,1,"`""More than 0.2 to 40%""', modify"
READHOME_WLE_CA,2,"`""More than 0.4 to 60%""', modify"
READHOME_WLE_CA,3,"`""More than 0.6 to 80%""', modify"
READHOME_WLE_CA,4,"`""More than 80%""', modify"
READHOME_WLE_CA,5,"`""All zero response""', modify"
PLANNING_WLE_CA,0,"`""Lowest to 20%""', modify"
PLANNING_WLE_CA,1,"`""More than 0.2 to 40%""', modify"
PLANNING_WLE_CA,2,"`""More than 0.4 to 60%""', modify"
PLANNING_WLE_CA,3,"`""More than 0.6 to 80%""', modify"
PLANNING_WLE_CA,4,"`""More than 80%""', modify"
PLANNING_WLE_CA,5,"`""All zero response""', modify"
NUMWORK_WLE_CA,0,"`""Lowest to 20%""', modify"
NUMWORK_WLE_CA,1,"`""More than 0.2 to 40%""', modify"
NUMWORK_WLE_CA,2,"`""More than 0.4 to 60%""', modify"
NUMWORK_WLE_CA,3,"`""More than 0.6 to 80%""', modify"
NUMWORK_WLE_CA,4,"`""More than 80%""', modify"
NUMWORK_WLE_CA,5,"`""All zero response""', modify"
NUMHOME_WLE_CA,0,"`""Lowest to 20%""', modify"
NUMHOME_WLE_CA,1,"`""More than 0.2 to 40%""', modify"
NUMHOME_WLE_CA,2,"`""More than 0.4 to 60%""', modify"
NUMHOME_WLE_CA,3,"`""More than 0.6 to 80%""', modify"
NUMHOME_WLE_CA,4,"`""More than 80%""', modify"
NUMHOME_WLE_CA,5,"`""All zero response""', modify"
INFLUENCE_WLE_CA,0,"`""Lowest to 20%""', modify"
INFLUENCE_WLE_CA,1,"`""More than 0.2 to 40%""', modify"
INFLUENCE_WLE_CA,2,"`""More than 0.4 to 60%""', modify"
INFLUENCE_WLE_CA,3,"`""More than 0.6 to 80%""', modify"
INFLUENCE_WLE_CA,4,"`""More than 80%""', modify"
INFLUENCE_WLE_CA,5,"`""All zero response""', modify"
ICTWORK_WLE_CA,0,"`""Lowest to 20%""', modify"
ICTWORK_WLE_CA,1,"`""More than 0.2 to 40%""', modify"
ICTWORK_WLE_CA,2,"`""More than 0.4 to 60%""', modify"
ICTWORK_WLE_CA,3,"`""More than 0.6 to 80%""', modify"
ICTWORK_WLE_CA,4,"`""More than 80%""', modify"
ICTWORK_WLE_CA,5,"`""All zero response""', modify"
ICTHOME_WLE_CA,0,"`""Lowest to 20%""', modify"
ICTHOME_WLE_CA,1,"`""More than 0.2 to 40%""', modify"
ICTHOME_WLE_CA,2,"`""More than 0.4 to 60%""', modify"
ICTHOME_WLE_CA,3,"`""More than 0.6 to 80%""', modify"
ICTHOME_WLE_CA,4,"`""More than 80%""', modify"
ICTHOME_WLE_CA,5,"`""All zero response""', modify"
